Cell	Longitude	Latitude
0	34.497955	47.423668
1	34.51121	47.423492
2	34.524464	47.423317
3	34.53772	47.42314
4	34.550972	47.422962
5	34.564224	47.42278
6	34.57748	47.4226
7	34.590733	47.422417
8	34.603985	47.42223
9	34.617237	47.422047
10	34.630493	47.421856
11	34.643745	47.42167
12	34.656998	47.42148
13	34.67025	47.421284
14	34.683502	47.421093
15	34.696754	47.420895
16	34.710007	47.4207
17	34.72326	47.4205
18	34.73651	47.4203
19	34.74976	47.420097
20	34.49821	47.432663
21	34.511467	47.432487
22	34.524723	47.432312
23	34.53798	47.432133
24	34.551235	47.431957
25	34.56449	47.431774
26	34.577747	47.431595
27	34.591003	47.43141
28	34.60426	47.431225
29	34.617516	47.431038
30	34.630768	47.43085
31	34.644024	47.430664
32	34.65728	47.430473
33	34.670532	47.43028
34	34.68379	47.430084
35	34.697044	47.42989
36	34.710297	47.42969
37	34.723553	47.429493
38	34.736805	47.429295
39	34.75006	47.429092
40	34.498466	47.441658
41	34.511726	47.441483
42	34.524986	47.441307
43	34.538242	47.441128
44	34.551502	47.440952
45	34.56476	47.44077
46	34.57802	47.44059
47	34.591274	47.440407
48	34.604534	47.44022
49	34.61779	47.440033
50	34.631046	47.439846
51	34.644306	47.439655
52	34.657562	47.439465
53	34.67082	47.439274
54	34.684074	47.43908
55	34.69733	47.438885
56	34.71059	47.438686
57	34.723846	47.438488
58	34.737103	47.43829
59	34.75036	47.438087
60	34.498722	47.45065
61	34.511986	47.450478
62	34.525246	47.450302
63	34.538506	47.450123
64	34.551765	47.449944
65	34.565025	47.449764
66	34.578285	47.449585
67	34.591545	47.4494
68	34.604805	47.449215
69	34.618065	47.449028
70	34.631325	47.44884
71	34.644585	47.44865
72	34.657845	47.44846
73	34.671104	47.44827
74	34.684364	47.448074
75	34.69762	47.44788
76	34.71088	47.44768
77	34.72414	47.447483
78	34.737396	47.44728
79	34.750656	47.44708
80	34.498978	47.459644
81	34.51224	47.459473
82	34.525505	47.459297
83	34.53877	47.459118
84	34.55203	47.45894
85	34.565292	47.45876
86	34.578556	47.458576
87	34.591816	47.458393
88	34.60508	47.45821
89	34.618343	47.458023
